AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,687494,NBNSYS0100049740,6
ANGLIAN - CENTRAL,687494,NBNSYS0100049757,5
ANGLIAN - CENTRAL,687494,NBNSYS0100049794,4
ANGLIAN - CENTRAL,687494,NBNSYS0100049811,2
ANGLIAN - CENTRAL,687494,NBNSYS0100049812,1
ANGLIAN - CENTRAL,687494,NBNSYS0100049828,8
ANGLIAN - CENTRAL,687494,NBNSYS0100049843,8
ANGLIAN - CENTRAL,687494,NBNSYS0100051134,3
ANGLIAN - CENTRAL,687494,NHMSYS0000524017,3
ANGLIAN - CENTRAL,687494,NBNSYS0100052065,1
ANGLIAN - CENTRAL,687494,NBNSYS0100052460,1
ANGLIAN - CENTRAL,687494,NBNSYS0100053515,13
ANGLIAN - CENTRAL,687494,NBNSYS0100053645,2
ANGLIAN - CENTRAL,687494,NBNSYS0100053652,4
ANGLIAN - CENTRAL,687494,NBNSYS0100054311,2
ANGLIAN - CENTRAL,609577,NHMSYS0020475041,5
ANGLIAN - CENTRAL,609577,NBNSYS0100041921,3
ANGLIAN - CENTRAL,609577,NBNSYS0100041923,27
ANGLIAN - CENTRAL,609577,NBNSYS0100041934,11
ANGLIAN - CENTRAL,609577,NBNSYS0100041935,35
ANGLIAN - CENTRAL,609577,NBNSYS0100041946,1
ANGLIAN - CENTRAL,609577,NBNSYS0100042906,1
ANGLIAN - CENTRAL,609577,NBNSYS0100043872,2
ANGLIAN - CENTRAL,609577,NBNSYS0100043874,1
ANGLIAN - CENTRAL,609577,NBNSYS0100043878,5
ANGLIAN - CENTRAL,609577,NBNSYS0100044688,2
ANGLIAN - CENTRAL,609577,NBNSYS0100044842,1
ANGLIAN - CENTRAL,609577,NBNSYS0100045229,1
ANGLIAN - CENTRAL,609577,NBNSYS0100045389,2
ANGLIAN - CENTRAL,609577,NBNSYS0100045686,1
ANGLIAN - CENTRAL,609577,NBNSYS0100045704,6
ANGLIAN - CENTRAL,609577,NBNSYS0100046149,2
ANGLIAN - CENTRAL,609577,NBNSYS0100046435,10
